ID,Link,Author,rcs_nco,Selection ,Ascertaiment.1,Ascertaiment.2,Causality,Reporting.1,Reporting.2,Reporting.3,Overall.Prevalence,Overall,Selecion.1,Selection2.,Selection.3,Selection.4,Comparability,Exposure.1,Exposure.2,Exposure.3,Overall2,Overall.Prevalence2
1,nuevo,"CDC COVID-19 RT, a.",rcs,Low,High,Low,High,Low,High,Unclear,High,High,,,,,,,,,,
43,https://jamanetwork.com/journals/jama/fullarticle/2764365?guestAccessKey=b31f5704-e073-4df7-bc2f-165927e428e8&utm_source=silverchair&utm_medium=email&utm_campaign=article_alert-jama&utm_content=olf&utm_term=040620,"Grasselli, et al.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
44,https://www.sciencedirect.com/science/article/pii/S1198743X20301774?via%3Dihub,"Wang, et al., CMI.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
489,https://www1.health.gov.au/internet/main/publishing.nsf/Content/1D03BCB527F40C8BCA258503000302EB/$File/covid_19_au_epi_report_5_reporting_week_ending_1900_aedt_29_feb_2020.pdf,COVID-19 NIRST.,rcs,High,High,Low,High,Low,Low,Low,High,High,,,,,,,,,,
1405,https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.120.047164,"Fried,  et al.",rcs,High,High,Low,High,Low,Low,Low,High,High,,,,,,,,,,
7916,https://onlinelibrary.wiley.com/doi/full/10.1111/all.14238,"Zhang, et al., EJACI.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
7929,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7088566/,"Liu, et al., SCLS.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
7942,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30154-9/fulltext,"Chan, et al., Lancet.",rcs,High,Low,Low,High,Low,Low,Low,High,High,,,,,,,,,,
7949,https://link.springer.com/article/10.1007%2Fs00259-020-04735-9 ,"Xu, et al., EJNMMI.",rcs,Low,Low,Low,Low,Low,High,Low,Low,High,,,,,,,,,,
8070,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30528-6/fulltext,"Pung, et al.",rcs,Low,Low,Low,Low,Low,Low,Low,Low,Low,,,,,,,,,,
